jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Ikan sebelah (Indian Halibut),,,,,,,,,,,,
Lolosi Biru (Blue and Gold Fusilier),,,,,,,,,,,,
Selar (Trevallies),52.084,75.167,112.932,47.788,73.130,53.511,120.659,67.561,43.888,28.249,28.370,29.242
Kuwe (Jack trevallies),433,3.043,490,273,638,83,109,285,524,382,421,819
Layang (Scad),497.673,700.227,1.762.727,1.045.739,1.212.924,659.222,859.641,469.156,613.868,624.926,515.877,587.233
Sunglir (Rainbow runner),11.271,11.791,3.414,16.031,18.141,11.992,5.062,12.675,35.250,13.163,2.303,2.084
Bawal hitam (Black pomfret),,,,,,,,,200,700,,
Kakap putih (Barramundi),,,,,,,,,,,,
Siro (Spotted sardinella),21.229,6.255,6.124,5.580,32.472,14.825,25.532,24.494,28.808,27.489,7.240,5.450
Lemadang (Commond dolphin fish),1.231,1.443,21.890,10.592,12.298,943,1.027,160,481,1.695,494,459
Teri (Anchovies),7.147,9.099,11.542,7.755,1.860,7.745,3.415,3.963,2.419,12.475,4.190,4.140
Setuhuk hitam (Black Marlin),15.240,32.077,39.733,14.456,23.331,15.272,16.709,14.870,22.368,15.138,25.043,16.699
Ikan Pedang (Swordfish),,754,6.885,4.943,921,459,2.678,339,111,645,1.096,141
Kakap merah (Red snappers),1.293,300,,,632,,180,,150,510,1.055,250
Tongkol krai (Frigate tuna),152.678,168.534,333.221,314.413,272.135,248.179,328.962,173.350,311.873,315.661,261.990,315.025
Tongkol komo (Eastern little tuna),,2.095,800,36.420,200,,,,,,3.421,
Cakalang (Skipjack tuna),952.384,1.126.419,2.058.654,1.540.504,1.806.496,1.329.050,964.140,677.702,1.446.724,2.406.080,900.036,959.053
Kembung (Short-bodied mackerel),56.319,17.282,7.684,9.390,11.055,14.292,4.330,5.180,26.504,80.944,54.742,17.708
Tengiri papan (indo-pasific king mackerel),,,,,,,,,,,,
Madidihang (yellowfin tuna),1.162.354,967.771,1.792.834,1.472.508,1.773.811,1.151.331,1.302.454,761.780,1.374.341,2.083.083,1.917.502,1.630.207
Tuna mata besar  (Bigeye tuna),4.313,9.918,9.221,13.944,5.211,4.252,2.643,6.161,1.720,7.892,10.688,8.849
Lisong (Bullet tuna),,,,,,,,,,,,
Kerapu karang (Blue lined seabass),1.575,1.000,1.616,770,3.965,2.071,83,,90,200,28.830,
Layur (Hairtails),,,,,,,,,,700,,
Cucut lanyam (Requiem sharks),,,,,,,,,,,,
Cucut botol (Dogfish sharks),,,,,,,,,,,,
Setuhuk biru (Indo-pacific blue marlin),,,,,,,,,,,,
Ekor kuning (Redbelly yellowtail fusilier),331,130,400,1.305,900,400,260,684,4.108,37.556,6.560,1.655
Bawal Putih (Silver pomfret),,,,,,,,,,,,
Beloso (Greater lizardfish),,,,,,,,,,,,
Ikan Lidah (Tongue soles),,,,,,,,,,,,
Ikan Terbang (Flying fish),101,822,1.130,1.658,571,312,1.588,1.623,1.221,1.591,296,70
Julung -  julung (Garfish and Halfbeaks),,,,,,,,,,,,
Gerot - gerot (Saddle grunt),,,,,,,,,,,,
Biji nangka (Yellow-strip goatfish),,,,,,,,,,,,
Kerapu bebek (Humpback hind),,,,,,,,,,,,
Pari kembang (Stingrays),,,,,,,,,,,,
Tetengkek (Torpedo Scad),,,,,,,,,,,,
Tembang (Goldstrip sardinella),,,,,,,,,,,,
Biji nangka karang (Indian goatfish),,,,,,,,,,,,
Tenggiri (Narrow-barred spanish mackerel),231,,,,80,20,10,,20.708,11.000,,
Lemuru bali (sardinella),,,,,,,,,,,,
ikan lainnya (Other fishes),16.049,13.529,21.387,38.051,6.959,5.203,270,80,17.663,19.711,57.295,12.400
Gurita (Octopuses),,,,,,,,,,,,
Sotong (Cutlefish),,,,,,,,,,,,
Cumi - cumi (Commond squids),16.519,21.628,21.759,32.401,23.585,8.111,10.293,9.238,23.064,75.236,32.248,39.406
Manyung  (Giant catfish),,,,,,,,,,700,,
Ikan Layaran                           (Indo-pacific sailfish),,,,,,,,,450,,,
Gulamah/Tigawaja     (Croacker),,,,,,,,,,,,
Alu-alu/Manggilala/ Pucul                         Great barracuda,,,,,80,40,,,,,,
Cendro                                (Needle fish),786,430,140,60,150,,300,,648,210,270,
Kuro/Senangin  Treadfin,,,,,,,,,,,,
Daun bambu/ Talang-talang     Queen fish,,,,,,,,,,,,
Peperek Slipmouths/                         Pony fishes,,,,,,,,,,,,
Albakora    Albacore,,,,,,,,,,,,
Tongkol abu-abu                        Longtail tuna,,,,,,,,,,,1.300,
Beronang kuning Barhed spinefoot,,,,,,,,,,,,
