jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Ikan sebelah (Indian Halibut),0,0,0,0,0,0,0,0,0,0,0,0
Lolosi Biru (Blue and Gold Fusilier),0,0,0,0,0,0,0,0,0,0,0,0
Selar (Trevallies),54.912,71.675,85.220,30.253,96.680,135.149,208.440,159.095,111.952,116.877,86.308,78.035
Kuwe (Jack trevallies),0,100,90,90,524,393,126,397,566,1.166,644,254
Layang (Scad),337.433,406.484,501.297,729.763,739.106,763.832,1.115.555,915.851,648.377,771.149,1.090.156,904.047
Sunglir (Rainbow runner),9.330,3.340,45.715,6.418,52.277,17.007,20.759,10.155,9.197,9.727,3.391,3.362
Bawal hitam (Black pomfret),0,0,0,0,78,0,0,0,0,36,0,0
Kakap putih (Barramundi),0,0,0,0,0,0,1.533,0,0,0,0,0
Siro (Spotted sardinella),54.400,8.505,6.355,115,8.144,8.597,19.165,7.451,64.502,29.625,22.705,3.903
Lemadang (Commond dolphin fish),78.640,31.560,74.808,37.577,15.618,17.514,36.114,26.693,15.873,7.739,7.653,5.276
Teri (Anchovies),0,900,345,345,17.362,12.098,15.305,16.003,20.554,28.783,10.509,8.523
Setuhuk hitam (Black Marlin),3.152,6.254,6.104,5.756,11.267,6.326,8.204,8.740,4.608,9.049,21.420,32.899
Ikan Pedang (Swordfish),1.512,2.632,1.752,1.923,4.932,2.262,8.428,674,189,735,3.141,0
Kakap merah (Red snappers),210,4.714,550,550,186,12,1.543,113,204,1.165,2.015,799
Tongkol krai (Frigate tuna),252.381,221.832,208.930,262.645,153.880,151.936,331.137,272.133,256.310,332.616,516.908,322.425
Tongkol komo (Eastern little tuna),1.500,7.250,600,2.166,1.000,0,0,0,0,0,0,0
Cakalang (Skipjack tuna),1.747.501,1.274.673,1.355.795,1.627.932,1.582.258,1.159.081,1.376.364,1.450.902,998.161,1.195.884,1.095.443,1.436.107
Kembung (Short0bodied mackerel),2.755,11.625,5.805,3.251,20.972,23.815,16.432,16.430,16.454,32.102,11.419,11.532
Tengiri papan (indo0pasific king mackerel),0,0,0,0,0,0,0,0,0,0,0,0
Madidihang (yellowfin tuna),1.339.228,1.447.670,1.703.626,2.047.954,1.862.234,1.072.257,1.080.690,1.258.929,995.040,1.355.317,1.608.299,1.838.434
Tuna mata besar  (Bigeye tuna),2.464,10.748,4.861,28.123,47.232,6.538,17.320,50,5.305,4.980,6.169,1.521
Lisong (Bullet tuna),0,0,0,0,0,0,0,0,0,0,0,0
Kerapu karang (Blue lined seabass),450,20.995,500,500,35,0,1.506,0,114,1.322,1.500,943
Layur (Hairtails),0,0,0,0,0,0,0,0,0,0,0,0
Cucut lanyam (Requiem sharks),0,0,0,0,0,0,0,0,0,0,0,0
Cucut botol (Dogfish sharks),0,0,0,0,0,,,,0,0,0,0
Setuhuk biru (Indo0pacific blue marlin),0,0,0,0,0,0,0,0,0,0,0,0
Ekor kuning (Redbelly yellowtail fusilier),0,0,0,749,52,50,168,12,3.247,4.456,3.033,2.668
Bawal Putih (Silver pomfret),0,0,0,0,0,0,0,0,0,0,0,0
Beloso (Greater lizardfish),0,0,0,0,0,0,0,0,0,0,0,0
Ikan Lidah (Tongue soles),0,0,0,0,0,0,0,0,0,0,0,0
Ikan Terbang (Flying fish),0,0,0,0,0,0,0,0,0,2.056,500,846
Julung 0  julung (Garfish and Halfbeaks),0,0,0,0,0,0,0,0,0,0,0,0
Gerot 0 gerot (Saddle grunt),0,0,0,0,0,0,0,0,0,0,0,0
Biji nangka (Yellow0strip goatfish),0,0,0,0,0,0,0,0,0,0,0,0
Kerapu bebek (Humpback hind),0,0,0,0,0,0,0,0,0,0,0,0
Pari kembang (Stingrays),0,0,0,0,0,0,0,0,0,0,0,0
Tetengkek (Torpedo Scad),0,0,150,0,0,0,870,350,0,0,0,0
Tembang (Goldstrip sardinella),0,0,0,0,0,0,0,0,0,0,0,0
Biji nangka karang (Indian goatfish),0,0,0,0,0,0,0,0,0,0,0,0
Tenggiri (Narrow0barred spanish mackerel),0,40,255,205,325,172,390,186,365,123,279,43
Lemuru bali (sardinella),0,0,0,0,0,0,0,0,0,0,0,0
ikan lainnya (Other fishes),9.780,13.033,54.070,20.520,21.695,2.731,2.937,4.665,20.969,19.312,53.340,100.507
Gurita (Octopuses),180,0,330,0,0,0,0,0,0,110,0,0
Sotong (Cutlefish),0,0,0,0,0,0,0,0,0,0,0,0
Cumi 0 cumi (Commond squids),350,920,675,714,6.141,15.632,18.827,27.990,19.684,15.538,21.610,33.917
Manyung  (Giant catfish),0,0,0,0,0,0,0,0,0,148,0,0
Ikan Layaran                           (Indo0pacific sailfish),0,0,0,0,761,750,150,0,0,0,0,0
Gulamah/Tigawaja     (Croacker),0,135,0,0,0,0,0,0,0,0,0,0
Alu0alu/Manggilala/ Pucul                         Great barracuda,0,0,100,0,6,58,38,43,0,65,39,61
Cendro                                (Needle fish),0,0,110,1.110,1.480,1.118,289,1.658,2.129,4.201,2.794,479
Kuro/Senangin  Treadfin,0,0,0,0,0,0,0,0,0,0,0,0
Daun bambu/ Talang0talang     Queen fish,0,0,0,0,0,0,0,0,0,0,0,0
Peperek Slipmouths/                         Pony fishes,0,0,0,0,0,0,0,0,0,0,0,0
Albakora    Albacore,1.301,0,0,7.400,355,500,0,0,0,0,0,0
Tongkol abu0abu                        Longtail tuna,0,0,0,0,0,0,0,0,0,0,0,0
Beronang kuning Barhed spinefoot,0,0,0,0,0,0,0,0,0,13,0,0
