jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Teri,1.005,0.0,3.285,1.58,9.115,18.428,480.0,0.0,0.0,0.0,1.18,0.0
Selar Bentong,61.634,11.49,13.725,9.329,6.25,12.43,27.495,33.74,20.2,24.472,22.45,13.42
Cendro,0.0,0.0,0.0,0.0,0.0,0.0,100.0,350.0,0.0,0.0,0.0,0.0
Ikan Terbang,885.0,933.0,0.0,0.0,250.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
Julung-Julung,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kembung,138.93,22.468,10.776,18.727,92.35,9.051,9.665,5.475,12.075,14.92,28.075,109.5
Layang Deles,330.754,396.015,662.301,894.83,881.449,840.138,0.0,751.655,865.397,998.651,799.286,875.766
Siro,15.102,775.0,20.36,14.405,5.19,5.577,690.0,1.675,9.24,8.345,45.16,3.84
Sunglir,1.842,4.4,2.5,0.0,200.0,290.0,120.0,550.0,1.13,250.0,300.0,100.0
Tetengkek,0.0,0.0,0.0,300.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
Semar,40.0,0.0,265.0,765.0,0.0,0.0,0.0,0.0,0.0,970.0,230.0,40.0
Tuna Mata Besar [BET],2.999,11.937,14.201,14.805,9.485,18.998,7.689,12.745,19.163,22.884,14.044,12.644
Madidihang [YFT],0.0,899.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongkol Abu-Abu [LOT],0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongkol Banyar [KAW],0.0,200.0,0.0,0.0,50.0,85.0,0.0,0.0,100.0,240.0,3.125,20.0
Tongkol Pisang-Balaki [FRI],143.88,147.602,456.415,461.51,460.083,429.434,494.986,513.203,728.844,744.343,736.956,503.301
Tongkol Pisang-Cerutu [BLT],0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2.78,0.0
Cakalang [SKJ],379.62,518.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemadang,0.0,220.0,220.0,5.567,110.0,50.0,240.0,0.0,290.0,1.1,550.0,500.0
Ikan Layaran [SFA],0.0,22.0,109.0,132.0,0.0,26.0,645.0,0.0,1.738,0.0,0.0,600.0
Ikan Pedang [SWO],0.0,1.342,3.152,10.47,4.616,20.516,13.434,2.67,7.69,6.064,12.388,7.661
Setuhuk biru (BUM),0.0,0.0,200.0,15.0,0.0,0.0,0.0,1.965,0.0,0.0,0.0,0.0
Setuhuk Hitam [BLM],12.359,28.5,1.758,1.524,717.0,3.311,7.465,6.068,12.444,9.503,9.293,1.129
Tenggiri [COM],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.874,0.0,0.0,2.0
Ikan Gindara,0.0,0.0,291.0,49.0,0.0,320.0,0.0,0.0,0.0,0.0,422.0,0.0
Manyung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
Kwe,650.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bawal Hitam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,1.7
Kakap Merah,300.0,6.0,710.0,1.16,0.0,870.0,350.0,0.0,0.0,0.0,830.0,0.0
Kuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0
Gulamah/ Tigawaja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.405,0.0,0.0,0.0
Alu-alu/ Manggilala/ Pucul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,1.0
Layur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0
Ekor Kuning,510.0,2.15,0.0,75.0,40.0,380.0,190.0,0.0,0.0,0.0,220.0,100.0
Kerapu Karang,0.0,0.0,2.023,0.0,13.131,10.35,8.35,0.0,20.0,12.665,20.283,22.418
Cumi-Cumi,20.173,15.653,9.939,22.844,9.207,11.845,6.485,1.745,6.52,11.668,8.934,3.489
Lainnya,19.587,19.287,371.0,1.28,100.0,0.0,950.0,320.0,7.96,0.0,0.0,400.0
