jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Teri,4.015,3.96,3.075,1.45,4.13,3.8,4.42,7.367,10.212,18.607,10.778,8.815
Selar Bentong,54.418,44.1,63.155,45.075,61.28,44.42,76.48,18.667,14.224,32.51,34.494,49.305
Cendro,520.0,260.0,50.0,23.826,8.525,19.631,250.0,90.0,370.0,1.737,1.332,558.0
Kembung,132.54,8.94,12.835,2.19,2.44,7.285,5.23,5.762,1.99,12.595,6.597,5.588
Layang Deles,549.057,685.413,23.21,23.826,723.802,947.74,773.332,947.803,32.794,834.659,689.934,642.462
Siro,13.785,1.945,28.275,3.435,1.695,430.0,2.6,3.299,7.003,8.963,6.15,3.207
Sunglir,5.41,852.0,1.582,955.0,394.0,19.631,100.0,340.0,2.015,1.379,625.0,275.0
Ikan Pelagis kecill lainnya,210.0,47.05,100.0,200.0,550.0,200.0,700.0,817.369,579.0,615.0,950.0,1.476
Albakora [ALB],132.54,608.0,2.454,272.0,23.0,19.631,50.0,23.0,157.0,667.0,1.098,4.455
Tuna Mata Besar [BET],6.478,13.5,18.736,23.826,10.042,16.543,15.251,22.134,27.866,31.47,41.363,55.743
Madidihang [YFT],688.723,47.05,23.21,23.826,8.525,19.631,977.206,23.0,32.794,24.43,47.5815,8.815
Tongkol Abu-Abu [LOT],132.54,47.05,23.21,23.826,1.0,19.631,50.0,73.968,81.712,169.885,53.8,51.6
Tongkol Pisang-Balaki [FRI],404.716,292.165,411.816,354.61,211.37,345.651,306.343,205.921,331.201,314.516,213.913,230.048
Cakalang [SKJ],132.54,47.05,23.21,23.826,8.525,19.631,50.0,23.0,32.794,24.43,47.5815,8.815
Lemadang,325.0,50.0,85.0,830.0,2.95,19.631,50.0,105.0,570.0,969.0,828.0,1.356
Ikan Layaran [SFA],172.0,47.05,449.0,23.826,8.525,885.0,50.0,129.0,45.0,9.143,522.0,3.495
Ikan Pedang [SWO],8.385,10.868,23.21,16.355,3.946,19.631,10.772,7.412,12.629,4.753,11.459,4.341
Setuhuk biru (BUM),826.0,831.0,1.042,3.14,692.0,1.452,1.232,1.429,1.155,9.4,3.912,1.452
Setuhuk Hitam [BLM],132.54,64.0,88.0,480.0,8.525,19.631,93.0,181.0,106.0,24.43,351.0,8.815
Tenggiri [COM],180.0,47.05,23.21,23.826,25.5,19.631,50.0,15.0,190.0,43.644,37.0,8.815
Kwe,132.54,47.05,23.21,23.826,6.3,19.631,50.0,23.0,60.0,850.0,461.0,444.0
Kurisi,100.0,47.05,23.21,23.826,8.525,19.631,50.0,50.0,5.0,1.0,68.0,8.815
Kerapu Karang,9.688,2.471,4.5,3.692,4.4,12.15,13.0,7.641,5.5,12.998,314.0,17.473
Cumi-Cumi,4.474,5.48,10.82,9.9,4.49,14.53,13.45,14.858,32.794,24.43,16.949,6.379
