jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Teri,360,320,310,3855,2980,1885,2970,2750,3145,3475,3520,1660
Selar Bentong,55220,66630,63249,44065,30000,72105,49690,99670,57635,71501,47305,59750
Cendro,0,250,0,0,150,150,0,200,0,0,0,0
Talang-Talang,0,0,0,0,0,0,0,0,0,0,0,90
Ikan Terbang,0,0,0,0,0,0,0,90,70,0,0,0
Kembung,8930,7048,16995,14800,14130,50570,9025,6190,16175,4225,10475,9820
Layang Deles,535910,338443,758303,641787,672071,943781,942781,994180,801617,897772,1014994,1152860
Siro,615,245,405,14400,4260,11040,9835,7550,22295,8855,13243,9865
Sunglir,600,5860,1355,6950,2300,190,2580,3100,340,410,2800,350
Semar,0,0,0,0,0,0,0,515,525,1140,650,0
Ikan Pelagis kecill lainnya,0,0,0,0,0,0,0,0,0,0,6290,0
Albakora [ALB],0,0,0,0,0,0,0,193,528,0,29,24
Tuna Mata Besar [BET],14457,19873,18613,11812,13775,18647,21902,17303,32993,13510,9322,18895
Madidihang [YFT],1182613,1227049,1380208,1087928,978741,1360831,1117663,1283348,1402252,1151006,1046120,845904
Tongkol Abu-Abu [LOT],800,0,2000,0,0,15050,0,0,0,0,0,17250
Tongkol Banyar [KAW],0,195,137,15,0,14700,0,50,125,0,0,14050
Tongkol Pisang-Balaki [FRI],301793,217139,283218,252920,180787,280835,273017,360699,416136,298769,495308,349973
Cakalang [SKJ],1509037,1590755,2137195,1582614,1294178,1853808,1308285,1549319,1361043,1111086,1103817,1276326
Lemadang,0,50,1050,130,80,1250,280,120,190,590,19210,1190
Ikan Layaran [SFA],0,0,0,0,45,150,130,0,273,0,352,57
Ikan Pedang [SWO],9490,16610,11054,7102,7691,10165,34952,12277,13877,23554,27691,23683
Setuhuk biru (BUM),0,0,633,0,96,1959,1122,1538,2799,2180,3722,3374
Setuhuk Hitam [BLM],12162,451,4868,1274,2724,1034,1805,1396,1504,903,1968,1201
Tenggiri [COM],0,0,0,0,50,13000,6305,0,3420,0,0,7830
Cucut lainnya (SKH),0,0,0,0,0,0,0,0,200,0,0,0
Manyung,0,0,0,0,0,2000,0,0,100,0,0,0
Kwe,0,0,0,0,0,400,0,65,0,0,0,0
Bawal Hitam,0,0,0,0,0,1000,0,0,250,0,0,9300
Kakap Batu,0,15600,0,0,0,0,0,0,0,0,0,0
Kakap Merah,1160,900,200,950,0,1800,246,0,0,0,0,0
Pinjalo,0,0,0,0,0,0,0,0,0,600,0,500
Kurisi,0,0,0,0,0,0,0,0,0,717,1200,1450
Alu-alu/ Manggilala/ Pucul,0,150,0,0,0,940,0,0,0,0,0,0
Layur,21,0,0,0,0,500,0,0,40,0,0,0
Ikan demersal lainnya,0,0,0,0,0,0,0,0,0,0,0,300
Ekor Kuning,0,0,1100,910,330,0,200,0,40,570,1000,980
Kerapu Karang,13666,13930,10350,13451,44765,24900,11009,12525,16200,17175,66169,26098
Cumi-Cumi,3360,7293,7089,9531,4890,7152,11641,8530,10950,10030,10935,7190
Lainnya,20,0,750,570,100,17425,2365,30,1900,0,0,11125
