jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahun,Total_Produksi_Tahunan,Growth_Rate,Produksi_Tahun_Lalu,jenis_ikan_encoded
Tongkol komo (Eastern little tuna),0.0,2095.0,800.0,36420.0,200.0,0.0,0.0,0.0,0.0,0.0,3421.0,0.0,2019,0.002428776030385713,0.0001743339163229652,0.0007078177753214721,81
Tongkol krai (Frigate tuna),252381.0,221832.0,208930.0,262645.0,153880.0,151936.0,331137.0,272133.0,25631.0,332616.0,516908.0,322425.0,2018,0.17267482543214088,,,82
Tongkol krai (Frigate tuna),152678.0,168534.0,333221.0,314413.0,272135.0,248179.0,328962.0,17335.0,311873.0,315661.0,261990.0,315025.0,2019,0.17197065193228042,5.061082816331628e-05,0.17267472363967104,82
Tuna Mata Besar [BET],2.999,11.937,14.201,14.805,9.485,18.998,7.689,12.745,19.163,22.884,14.044,12.644,2020,9.061764843279809e-06,,,83
Tuna Mata Besar [BET],14457.0,19873.0,18613.0,11812.0,13775.0,18647.0,21902.0,17303.0,32993.0,13510.0,9322.0,18895.0,2021,0.011941793445033362,0.06638900015454308,8.938727915914515e-06,83
Tuna Mata Besar [BET],6.478,13.5,18.736,23.826,10.042,16.543,15.251,22.134,27.866,31.47,41.363,55.743,2022,1.5926890774840347e-05,6.684709941333578e-08,0.01194167187628594,83
Tuna mata besar  (Bigeye tuna),2464.0,10748.0,4861.0,28123.0,47232.0,6538.0,17320.0,50.0,5305.0,4980.0,6169.0,1521.0,2018,0.007654356609563886,,,84
Tuna mata besar  (Bigeye tuna),4313.0,9918.0,9221.0,13944.0,5211.0,4252.0,2643.0,6161.0,1720.0,7892.0,10688.0,8849.0,2019,0.004797668180141223,3.1851942227526217e-05,0.00765423451329863,84
ikan lainnya (Other fishes),9780.0,13033.0,54070.0,20520.0,21695.0,2731.0,2937.0,4665.0,20969.0,19312.0,53340.0,100507.0,2018,0.018303396857132306,,,85
ikan lainnya (Other fishes),16049.0,13529.0,21387.0,38051.0,6959.0,5203.0,270.0,800.0,17663.0,19711.0,57295.0,12400.0,2019,0.011840817408943154,3.287481168713936e-05,0.018303276071104112,85
