jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Selar (Trevallies),52084.0,75167.0,112932.0,47788.0,73130.0,53511.0,120659.0,67561.0,43888.0,28249.0,28370.0,29242.0
Kuwe (Jack trevallies),433.0,3043.0,490.0,273.0,638.0,83.0,109.0,2850.0,524.0,382.0,421.0,819.0
Layang (Scad),497673.0,700227.0,1762727.0,1045739.0,1212924.0,659222.0,859641.0,469156.0,613868.0,624926.0,515877.0,587233.0
Sunglir (Rainbow runner),11271.0,11791.0,3414.0,16031.0,18141.0,11992.0,5062.0,12675.0,35250.0,13163.0,2303.0,2084.0
Bawal hitam (Black pomfret),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,700.0,0.0,0.0
Siro (Spotted sardinella),21229.0,6255.0,6124.0,5580.0,32472.0,14825.0,25532.0,24494.0,28808.0,27489.0,7240.0,5450.0
Lemadang (Commond dolphin fish),1231.0,1443.0,21890.0,10592.0,12298.0,943.0,1027.0,1600.0,481.0,1695.0,494.0,459.0
Teri (Anchovies),7147.0,9099.0,11542.0,7755.0,1860.0,7745.0,3415.0,3963.0,2419.0,12475.0,4190.0,4140.0
Setuhuk hitam (Black Marlin),15240.0,32077.0,39733.0,14456.0,23331.0,15272.0,16709.0,1487.0,22368.0,15138.0,25043.0,16699.0
Ikan Pedang (Swordfish),0.0,754.0,6885.0,4943.0,921.0,459.0,2678.0,3390.0,111.0,645.0,1096.0,141.0
Kakap merah (Red snappers),1293.0,300.0,0.0,0.0,632.0,0.0,180.0,0.0,150.0,510.0,1055.0,250.0
Tongkol krai (Frigate tuna),152678.0,168534.0,333221.0,314413.0,272135.0,248179.0,328962.0,17335.0,311873.0,315661.0,261990.0,315025.0
Tongkol komo (Eastern little tuna),0.0,2095.0,800.0,36420.0,200.0,0.0,0.0,0.0,0.0,0.0,3421.0,0.0
Cakalang (Skipjack tuna),952384.0,1126419.0,2058654.0,1540504.0,1806496.0,1329050.0,964140.0,677702.0,1446724.0,2406080.0,900036.0,959053.0
Kembung (Short-bodied mackerel),56319.0,17282.0,7684.0,9390.0,11055.0,14292.0,4330.0,518.0,26504.0,80944.0,54742.0,17708.0
Madidihang (yellowfin tuna),1162354.0,967771.0,1792834.0,1472508.0,1773811.0,1151331.0,1302454.0,76178.0,1374341.0,2083083.0,1917502.0,1630207.0
Tuna mata besar  (Bigeye tuna),4313.0,9918.0,9221.0,13944.0,5211.0,4252.0,2643.0,6161.0,1720.0,7892.0,10688.0,8849.0
Kerapu karang (Blue lined seabass),1575.0,1000.0,1616.0,770.0,3965.0,2071.0,83.0,0.0,90.0,200.0,28830.0,0.0
Layur (Hairtails),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0
Ekor kuning (Redbelly yellowtail fusilier),331.0,130.0,400.0,1305.0,900.0,400.0,260.0,6840.0,4108.0,37556.0,6560.0,1655.0
Ikan Terbang (Flying fish),101.0,822.0,1130.0,1658.0,571.0,312.0,1588.0,1623.0,1221.0,1591.0,296.0,70.0
Tenggiri (Narrow-barred spanish mackerel),231.0,0.0,0.0,0.0,80.0,20.0,10.0,0.0,20708.0,11000.0,0.0,0.0
ikan lainnya (Other fishes),16049.0,13529.0,21387.0,38051.0,6959.0,5203.0,270.0,800.0,17663.0,19711.0,57295.0,12400.0
Cumi - cumi (Commond squids),16519.0,21628.0,21759.0,32401.0,23585.0,8111.0,10293.0,9238.0,23064.0,75236.0,32248.0,39406.0
Manyung  (Giant catfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0
Ikan Layaran                           (Indo-pacific sailfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0
Alu-alu/Manggilala/ Pucul                         Great barracuda,0.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
Cendro                                (Needle fish),786.0,430.0,140.0,60.0,150.0,0.0,300.0,0.0,648.0,210.0,270.0,0.0
Tongkol abu-abu                        Longtail tuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0
